,percent_dem,percent_gop,state_abbr,GeoName
2775,0.192198582,0.680141844,UT,Wayne County
2776,0.272396901,0.472026126,UT,Weber County
2777,0.427610282,0.544715963,VA,Accomack County
2778,0.593169915,0.342608758,VA,Albemarle County
2779,0.768270058,0.178008712,VA,Alexandria city
2780,0.296331782,0.666986039,VA,Alleghany County
2781,0.305614783,0.668656716,VA,Amelia County
2782,0.328805065,0.635914007,VA,Amherst County
2783,0.25433744,0.718380689,VA,Appomattox County
2784,0.769866939,0.168881552,VA,Arlington County
2785,0.221161452,0.713346608,VA,Augusta County
2786,0.26883638,0.690147124,VA,Bath County
2787,0.230716351,0.724837624,VA,Bedford County
2788,0.145006402,0.823303457,VA,Bland County
2789,0.240974197,0.717182555,VA,Botetourt County
2790,0.262991674,0.701119724,VA,Bristol city
2791,0.585088293,0.398299542,VA,Brunswick County
2792,0.186659436,0.790889371,VA,Buchanan County
2793,0.429434377,0.544892916,VA,Buckingham County
2794,0.289352818,0.597912317,VA,Buena Vista city
2795,0.242376369,0.714306709,VA,Campbell County
2796,0.452815561,0.503418141,VA,Caroline County
2797,0.188194598,0.784058291,VA,Carroll County
2798,0.599198932,0.368758344,VA,Charles City County
2799,0.371719613,0.600656077,VA,Charlotte County
2800,0.804331187,0.132862095,VA,Charlottesville city
2801,0.46995806,0.482781439,VA,Chesapeake city
2802,0.462056729,0.484562548,VA,Chesterfield County
2803,0.374738655,0.57274628,VA,Clarke County
2804,0.280882876,0.674142637,VA,Colonial Heights city
2805,0.3858168,0.569438582,VA,Covington city
2806,0.194324713,0.768318966,VA,Craig County
2807,0.350613483,0.604020465,VA,Culpeper County
2808,0.416820513,0.552410256,VA,Cumberland County
2809,0.585886969,0.387339625,VA,Danville city
2810,0.208430913,0.770023419,VA,Dickenson County
2811,0.425995714,0.55028449,VA,Dinwiddie County
2812,0.646810308,0.33460076,VA,Emporia city
2813,0.474598431,0.496264475,VA,Essex County
2814,0.652997653,0.290751909,VA,Fairfax County
2815,0.621140543,0.311709128,VA,Fairfax city
2816,0.757793139,0.172557715,VA,Falls Church city
2817,0.349100312,0.595571598,VA,Fauquier County
2818,0.288509784,0.663447065,VA,Floyd County
2819,0.426252594,0.520160095,VA,Fluvanna County
2820,0.270621153,0.692408133,VA,Franklin County
2821,0.622772277,0.351732673,VA,Franklin city
2822,0.297012434,0.649565196,VA,Frederick County
2823,0.600808262,0.3350696,VA,Fredericksburg city
2824,0.287769784,0.678374947,VA,Galax city
2825,0.237798926,0.72352367,VA,Giles County
2826,0.276531448,0.670303217,VA,Gloucester County
2827,0.350610194,0.6011486,VA,Goochland County
2828,0.193855056,0.770597961,VA,Grayson County
2829,0.307587078,0.625381458,VA,Greene County
2830,0.586293835,0.398120559,VA,Greensville County
2831,0.406585625,0.572288446,VA,Halifax County
2832,0.667273821,0.289515198,VA,Hampton city
2833,0.310689583,0.635373036,VA,Hanover County
2834,0.570847228,0.352229695,VA,Harrisonburg city
2835,0.577991677,0.368435351,VA,Henrico County
2836,0.341212701,0.632860294,VA,Henry County
2837,0.266714594,0.688713156,VA,Highland County
2838,0.526538805,0.433206958,VA,Hopewell city
2839,0.37463991,0.584492945,VA,Isle of Wight County
2840,0.446708941,0.498022791,VA,James City County
2841,0.401383126,0.569571231,VA,King and Queen County
2842,0.334419654,0.613186262,VA,King George County
2843,0.302816901,0.656139965,VA,King William County
2844,0.433702076,0.533414154,VA,Lancaster County
2845,0.173954881,0.806372287,VA,Lee County
2846,0.618464052,0.312908497,VA,Lexington city
2847,0.554234044,0.386281308,VA,Loudoun County
2848,0.354601017,0.600159936,VA,Louisa County
2849,0.399139322,0.574861036,VA,Lunenburg County
2850,0.418314521,0.508614105,VA,Lynchburg city
2851,0.317565619,0.637150274,VA,Madison County
2852,0.551939513,0.390138067,VA,Manassas city
2853,0.617184503,0.332182585,VA,Manassas Park city
2854,0.601225949,0.3659118,VA,Martinsville city
2855,0.295351474,0.664210128,VA,Mathews County
2856,0.432957765,0.545760032,VA,Mecklenburg County
2857,0.351518185,0.611945279,VA,Middlesex County
2858,0.468790256,0.455673967,VA,Montgomery County
2859,0.4458591,0.50321329,VA,Nelson County
2860,0.2914577,0.667351805,VA,New Kent County
2861,0.599091069,0.34559855,VA,Newport News city
2862,0.684151014,0.264393657,VA,Norfolk city
2863,0.530648843,0.437887186,VA,Northampton County
2864,0.346135029,0.622431507,VA,Northumberland County
2865,0.263049451,0.701236264,VA,Norton city
2866,0.421170165,0.552627661,VA,Nottoway County
2867,0.347088652,0.612636242,VA,Orange County
2868,0.235768545,0.733752227,VA,Page County
2869,0.208269525,0.760278007,VA,Patrick County
2870,0.875191368,0.105562441,VA,Petersburg city
2871,0.290182094,0.686148894,VA,Pittsylvania County
2872,0.224768063,0.715350014,VA,Poquoson city
2873,0.661906977,0.297046512,VA,Portsmouth city
2874,0.241574372,0.707097773,VA,Powhatan County
2875,0.503676067,0.449796993,VA,Prince Edward County
2876,0.397707559,0.567348203,VA,Prince George County
2877,0.573632761,0.373237881,VA,Prince William County
2878,0.275939651,0.68250397,VA,Pulaski County
2879,0.484582228,0.437168435,VA,Radford city
2880,0.391764176,0.569756976,VA,Rappahannock County
2881,0.368940016,0.606135305,VA,Richmond County
2882,0.787973481,0.150479287,VA,Richmond city
2883,0.334742467,0.615306387,VA,Roanoke County
2884,0.560846434,0.384513995,VA,Roanoke city
2885,0.328123538,0.624333177,VA,Rockbridge County
2886,0.25621305,0.691619225,VA,Rockingham County
2887,0.190897909,0.780319803,VA,Russell County
2888,0.347266881,0.595679776,VA,Salem city
2889,0.1570363,0.819691696,VA,Scott County
2890,0.259109909,0.69230391,VA,Shenandoah County
2891,0.20748538,0.76,VA,Smyth County
2892,0.405207394,0.56751578,VA,Southampton County
2893,0.38986518,0.55762447,VA,Spotsylvania County
2894,0.426610559,0.517827085,VA,Stafford County
2895,0.478194544,0.460247667,VA,Staunton city
2896,0.54883255,0.410360371,VA,Suffolk city
2897,0.520372233,0.448943662,VA,Surry County
2898,0.570691025,0.408061954,VA,Sussex County
2899,0.156528792,0.819680995,VA,Tazewell County
2900,0.446507948,0.490987689,VA,Virginia Beach city
2901,0.290315328,0.661120791,VA,Warren County
2902,0.215749563,0.750884698,VA,Washington County
2903,0.41277156,0.526442835,VA,Waynesboro city
2904,0.449041129,0.522373658,VA,Westmoreland County
2905,0.690071675,0.254977436,VA,Williamsburg city
2906,0.48808398,0.452619633,VA,Winchester city
2907,0.179240878,0.799346274,VA,Wise County
2908,0.208679245,0.758037736,VA,Wythe County
2909,0.381334038,0.552609947,VA,York County
2910,0.637619372,0.301102774,VT,Addison County
2911,0.583603548,0.362496176,VT,Bennington County
2912,0.497069258,0.426731451,VT,Caledonia County
2913,0.704904029,0.236827459,VT,Chittenden County
